483;Clemson University;USA;155;367;535;218;433;497;645;510;44,83;2015;396;1292
360;College of William and Mary;USA;127;367;85;218;611;459;321;809;45,42;2015;511;1293
365;Colorado School of Mines;USA;130;367;81;218;668;601;321;690;45,39;2015;565;1294
271;Colorado State University - Fort Collins;USA;104;211;493;148;244;203;234;257;46,32;2015;231;1295
6;Columbia University;USA;4;13;6;9;13;13;11;4;96,14;2015;12;1296
685;Comenius University in Bratislava;Slovak Republic;1;367;567;218;707;624;645;871;44,38;2015;590;1297
228;Complutense University of Madrid;Spain;2;86;68;214;215;309;368;256;46,96;2015;335;1298
417;Concordia University;Canada;19;367;99;218;545;745;645;718;45,12;2015;590;1299
10;Cornell University;USA;8;12;18;14;24;15;25;11;86,79;2015;22;1300
594;Cranfield University;United Kingdom;44;367;176;218;763;762;812;549;44,52;2015;770;1301
508;Creighton University;USA;159;367;567;218;824;724;368;615;44,75;2015;402;1302
595;Curtin University;Australia;15;367;559;218;425;384;511;518;44,52;2015;549;1303
716;Czech Technical University in Prague;Czech Republic;3;347;567;218;673;816;428;582;44,34;2015;646;1304
286;Dalhousie University;Canada;14;367;137;218;280;247;264;384;46,17;2015;273;1305
305;Dalian University of Technology;China;9;367;104;218;313;667;511;131;45,92;2015;409;1306
834;Dankook University;South Korea;29;367;567;218;888;948;645;241;44,20;2015;896;1307
374;Darmstadt University of Technology;Germany;34;66;344;218;376;457;368;330;45,32;2015;413;1308
44;Dartmouth College;USA;28;40;19;218;246;167;136;63;56,35;2015;154;1309
579;Deakin University;Australia;14;367;424;218;502;647;321;636;44,56;2015;529;1310
255;Delft University of Technology;Netherlands;9;307;300;218;224;224;264;146;46,46;2015;247;1311
954;Dokuz Eyl?l University;Turkey;10;367;567;218;931;957;812;871;44,07;2015;906;1312
560;Dongguk University;South Korea;19;367;305;218;927;917;812;108;44,61;2015;997;1313
659;Donghua University;China;37;367;567;218;805;962;234;726;44,41;2015;622;1314
210;Dresden University of Technology;Germany;15;367;567;218;188;212;146;102;47,25;2015;195;1315
258;Drexel University;USA;99;367;233;218;362;338;287;91;46,43;2015;273;1316
843;Dublin City University;Ireland;6;367;567;218;803;933;511;347;44,19;2015;850;1317
28;Duke University;USA;20;74;31;56;19;23;15;33;61,55;2015;16;1318
261;Durham University;United Kingdom;23;132;267;116;248;199;197;460;46,42;2015;242;1319
762;East Carolina University;USA;207;367;394;218;699;685;812;639;44,28;2015;732;1320
586;East China Normal University;China;32;367;272;218;436;645;812;576;44,54;2015;622;1321
477;East China University of Science and Technology;China;25;367;567;218;423;828;645;184;44,86;2015;471;1322
881;?cole centrale de Lyon;France;45;367;255;218;856;841;812;570;44,15;2015;991;1323
548;?cole Centrale Paris;France;23;367;111;218;995;827;812;839;44,63;2015;958;1324
37;?cole normale sup?rieure - Paris;France;2;8;502;54;379;157;645;871;58,80;2015;295;1325
721;?cole normale sup?rieure de Cachan;France;32;121;323;218;895;776;428;871;44,33;2015;826;1326
471;?cole normale sup?rieure de Lyon;France;18;367;567;135;481;210;511;589;44,87;2015;413;1327
36;?cole Polytechnique;France;1;98;7;216;327;314;234;172;59,20;2015;295;1328
781;?cole Polytechnique de Montr?al;Canada;26;367;507;218;716;921;511;412;44,27;2015;741;1329
779;Ege University;Turkey;6;367;567;218;761;839;511;871;44,27;2015;699;1330
651;Ehime University;Japan;40;367;514;218;619;582;511;418;44,43;2015;590;1331
348;Eindhoven University of Technology;Netherlands;11;367;347;186;306;549;321;279;45,51;2015;318;1332
84;Emory University;USA;51;367;146;116;67;60;93;55;51,85;2015;41;1333
458;E?tv?s Lor?nd University;Hungary;1;89;567;116;559;444;287;724;44,92;2015;495;1334
85;Erasmus University Rotterdam;Netherlands;1;367;46;189;87;147;53;227;51,78;2015;44;1335
390;Ewha Womans University;South Korea;11;367;567;218;462;509;645;107;45,20;2015;457;1336
961;Federal University of ABC;Brazil;15;367;567;218;929;923;645;871;44,07;2015;921;1337
992;Federal University of Bahia;Brazil;17;367;540;218;962;865;645;774;44,03;2015;969;1338
998;Federal University of Cear?;Brazil;18;367;549;218;830;823;812;824;44,03;2015;975;1339
526;Federal University of Minas Gerais;Brazil;4;367;425;218;417;521;428;207;44,70;2015;549;1340
934;Federal University of Paran?;Brazil;12;367;497;218;697;800;812;772;44,10;2015;906;1341
939;Federal University of Pernambuco;Brazil;13;367;552;218;749;884;812;417;44,09;2015;946;1342
322;Federal University of Rio de Janeiro;Brazil;2;125;116;218;305;330;645;295;45,72;2015;381;1343
583;Federal University of Rio Grande do Sul;Brazil;5;367;567;218;410;578;428;787;44,55;2015;529;1344
918;Federal University of Santa Catarina;Brazil;10;367;567;218;606;941;812;763;44,12;2015;886;1345
974;Federal University of Santa Maria;Brazil;16;367;396;218;954;974;812;871;44,05;2015;975;1346
941;Federal University of S?o Carlos;Brazil;14;367;567;218;722;948;812;774;44,09;2015;906;1347
589;Federal University of S?o Paulo;Brazil;6;367;567;218;504;638;368;839;44,53;2015;520;1348
960;Federico Santa Mar?a Technical University;Chile;4;367;567;218;955;923;368;645;44,07;2015;946;1349
983;Feng Chia University;Taiwan;21;367;434;218;902;991;812;871;44,04;2015;975;1350
620;Flinders University;Australia;17;122;567;218;518;581;812;686;44,48;2015;622;1351
856;Florida Atlantic University;USA;221;367;567;218;855;741;812;714;44,17;2015;796;1352
823;Florida Institute of Technology;USA;214;367;567;218;973;793;368;871;44,21;2015;770;1353
605;Florida International University;USA;179;367;567;218;496;508;428;585;44,50;2015;540;1354
